"dispnum3","dispnum4","stabb","ccode","stday","stmon","styear","endday","endmon","endyear","sidea","revstate","revtype1","revtype2","fatality","fatalpre","hiact","hostlev","orig","version"
2009,-9,"UKG",200,17,8,1950,24,8,1950,1,0,0,-9,0,0,17,4,1,"4.01"
2010,-9,"FRN",220,14,12,1949,24,11,1950,1,0,0,-9,1,-9,17,4,1,"4.01"
2010,-9,"CHN",710,14,12,1949,24,11,1950,0,0,0,-9,1,-9,17,4,1,"4.01"
2013,-9,"UKG",200,-9,8,1838,-9,8,1838,0,1,1,-9,0,0,0,1,1,"4.01"
2013,-9,"BRA",140,-9,8,1838,-9,8,1838,1,1,1,-9,0,0,14,4,1,"4.01"
2014,-9,"SPN",230,19,5,1864,19,5,1864,0,0,0,-9,0,0,0,1,1,"4.01"
2014,-9,"USA",2,19,5,1864,19,5,1864,1,1,2,-9,0,0,1,2,1,"4.01"
2017,-9,"LAO",812,25,2,1970,25,2,1970,0,0,0,-9,0,0,0,1,1,"4.01"
2017,-9,"THI",800,25,2,1970,25,2,1970,1,0,0,-9,0,0,8,3,1,"4.01"
2018,-9,"THI",800,12,10,1953,28,10,1953,0,0,0,-9,0,0,1,2,1,"4.01"
2018,-9,"MYA",775,12,10,1953,28,10,1953,1,0,0,-9,0,0,16,4,1,"4.01"
2020,-9,"THI",800,21,7,1948,18,10,1948,0,0,0,-9,0,0,17,4,1,"4.01"
2020,-9,"FRN",220,21,7,1948,18,10,1948,1,0,0,-9,0,0,17,4,1,"4.01"
2021,-9,"CHN",710,14,12,1949,14,12,1949,0,0,0,-9,0,0,0,1,1,"4.01"
2021,-9,"FRN",220,14,12,1949,14,12,1949,1,0,0,-9,0,0,12,3,1,"4.01"
2022,-9,"FRN",220,14,2,1952,-9,3,1952,0,0,0,-9,0,0,0,1,1,"4.01"
2022,-9,"THI",800,14,2,1952,-9,3,1952,1,0,0,-9,0,0,8,3,1,"4.01"
2023,-9,"THI",800,-9,10,1953,27,3,1954,0,0,0,-9,0,0,11,3,1,"4.01"
2023,-9,"MYA",775,-9,10,1953,27,3,1954,1,0,0,-9,0,0,16,4,1,"4.01"
2024,-9,"THI",800,2,3,1955,2,3,1955,1,0,0,-9,0,0,11,3,1,"4.01"
2024,-9,"MYA",775,2,3,1955,2,3,1955,0,0,0,-9,0,0,0,1,1,"4.01"
2025,-9,"MYA",775,18,9,1957,18,3,1958,0,0,0,-9,0,0,0,1,1,"4.01"
2025,-9,"IND",750,18,9,1957,18,3,1958,1,0,0,-9,0,0,14,4,1,"4.01"
2029,-9,"DRV",816,30,12,1960,30,12,1960,1,0,0,-9,0,0,16,4,1,"4.01"
2029,-9,"LAO",812,30,12,1960,30,12,1960,0,0,0,-9,0,0,0,1,1,"4.01"
2030,-9,"THI",800,-9,8,1960,-9,10,1960,0,0,0,-9,0,0,16,4,1,"4.01"
2030,-9,"LAO",812,-9,8,1960,-9,10,1960,1,0,0,-9,0,0,16,4,1,"4.01"
2031,-9,"THI",800,10,2,1964,14,2,1964,1,0,0,-9,0,0,8,3,1,"4.01"
2031,-9,"LAO",812,10,2,1964,14,2,1964,0,0,0,-9,0,0,0,1,1,"4.01"
2032,-9,"CHN",710,10,5,1955,10,5,1955,1,0,0,-9,1,-9,17,4,1,"4.01"
2032,-9,"USA",2,10,5,1955,10,5,1955,0,0,0,-9,0,0,17,4,1,"4.01"
2033,-9,"CHN",710,23,7,1954,26,7,1954,0,0,0,-9,0,0,17,4,1,"4.01"
2033,-9,"USA",2,23,7,1954,26,7,1954,1,0,0,-9,0,0,17,4,1,"4.01"
2034,-9,"UKG",200,23,7,1954,23,7,1954,0,0,0,-9,0,0,0,1,1,"4.01"
2034,-9,"CHN",710,23,7,1954,23,7,1954,1,0,0,-9,0,0,16,4,1,"4.01"
2035,-9,"CHN",710,27,7,1953,29,7,1953,0,0,0,-9,0,0,0,1,1,"4.01"
2035,-9,"USA",2,27,7,1953,29,7,1953,1,0,0,-9,1,16,17,4,1,"4.01"
2036,-9,"USR",365,23,6,1953,23,6,1953,0,0,0,-9,0,0,0,1,1,"4.01"
2036,-9,"TAW",713,23,6,1953,23,6,1953,1,0,0,-9,0,0,15,4,1,"4.01"
2037,-9,"UKG",200,19,1,1955,19,1,1955,0,0,0,-9,0,0,0,1,1,"4.01"
2037,-9,"TAW",713,19,1,1955,19,1,1955,1,0,0,-9,0,0,16,4,1,"4.01"
2038,-9,"UKG",200,16,8,1958,18,8,1958,1,0,0,-9,0,0,7,3,1,"4.01"
2038,-9,"CHN",710,16,8,1958,18,8,1958,0,1,3,-9,0,0,0,1,1,"4.01"
2040,-9,"NIC",93,14,1,1920,8,3,1920,0,1,3,-9,0,0,0,1,1,"4.01"
2040,-9,"HON",91,14,1,1920,8,3,1920,1,0,0,-9,0,0,10,3,1,"4.01"
2042,-9,"NIC",93,3,5,1957,3,5,1957,1,0,0,-9,0,0,11,3,1,"4.01"
2042,-9,"COS",94,3,5,1957,3,5,1957,0,0,0,-9,0,0,7,3,1,"4.01"
2043,-9,"BRA",140,3,11,1866,3,11,1866,0,0,0,-9,0,0,0,1,1,"4.01"
2043,-9,"USA",2,3,11,1866,3,11,1866,1,0,0,-9,0,0,7,3,1,"4.01"
2044,-9,"ARG",160,19,6,1875,3,2,1876,1,1,4,-9,0,0,7,3,1,"4.01"
2044,-9,"BRA",140,19,6,1875,3,2,1876,0,0,0,-9,0,0,7,3,1,"4.01"
2045,-9,"SAL",92,16,3,1876,16,3,1876,0,0,0,-9,0,0,0,1,1,"4.01"
2045,-9,"ITA",325,16,3,1876,16,3,1876,1,0,0,-9,0,0,7,3,1,"4.01"
2046,-9,"GUA",90,27,7,1890,25,8,1890,0,0,0,-9,0,0,0,1,1,"4.01"
2046,-9,"SPN",230,27,7,1890,25,8,1890,1,0,0,-9,0,0,7,3,1,"4.01"
2047,-9,"ARG",160,-9,2,1911,5,3,1911,0,0,0,-9,0,0,7,3,1,"4.01"
2047,-9,"PAR",150,-9,2,1911,5,3,1911,1,0,0,-9,0,0,15,4,1,"4.01"
2049,-9,"USA",2,12,6,1957,12,6,1957,1,0,0,-9,0,0,7,3,1,"4.01"
2049,-9,"TAW",713,12,6,1957,12,6,1957,1,1,1,-9,1,-9,7,3,1,"4.01"
2049,-9,"CHN",710,12,6,1957,12,6,1957,0,1,1,-9,0,0,16,4,1,"4.01"
2050,-9,"PER",135,6,9,1932,25,5,1933,0,0,0,-9,0,0,17,4,1,"4.01"
2050,-9,"BRA",140,6,9,1932,25,5,1933,1,0,0,-9,0,0,17,4,1,"4.01"
2052,-9,"USA",2,16,2,1951,16,10,1952,0,1,1,-9,0,0,7,3,1,"4.01"
2052,-9,"CHN",710,16,2,1951,16,10,1952,1,1,1,-9,1,-9,17,4,1,"4.01"
2052,-9,"TAW",713,16,2,1951,16,10,1952,0,1,1,-9,1,-9,17,4,1,"4.01"
2053,-9,"USR",365,25,3,1980,13,4,1982,1,0,0,-9,-9,-9,7,3,0,"4.01"
2053,-9,"PAK",770,25,3,1979,13,4,1982,0,0,0,-9,-9,-9,17,4,1,"4.01"
2053,-9,"AFG",700,25,3,1979,13,4,1982,1,0,0,-9,-9,-9,17,4,1,"4.01"
2054,-9,"USR",365,13,8,1984,1,3,1985,0,0,0,-9,-9,-9,7,3,0,"4.01"
2054,-9,"AFG",700,18,9,1983,30,4,1987,1,0,0,-9,-9,-9,17,4,1,"4.01"
2054,-9,"PAK",770,18,9,1983,30,4,1987,0,0,0,-9,-9,-9,17,4,1,"4.01"
2055,-9,"ARG",160,-9,11,1842,-9,1,1843,0,0,0,-9,0,0,0,1,1,"4.01"
2055,-9,"FRN",220,-9,11,1842,-9,1,1843,1,1,2,-9,0,0,7,3,1,"4.01"
2055,-9,"UKG",200,-9,11,1842,-9,1,1843,1,1,2,-9,0,0,7,3,1,"4.01"
2059,-9,"YUG",345,4,7,1971,4,7,1971,0,0,0,-9,0,0,0,1,1,"4.01"
2059,-9,"BUL",355,4,7,1971,4,7,1971,1,1,1,-9,0,0,7,3,1,"4.01"
2066,-9,"ETH",530,11,6,1965,11,6,1965,1,0,0,-9,0,0,17,4,1,"4.01"
2066,-9,"SOM",520,11,6,1965,11,6,1965,0,1,1,-9,0,0,17,4,1,"4.01"
2067,-9,"ETH",530,31,3,1966,31,3,1966,0,0,0,-9,1,-9,17,4,1,"4.01"
2067,-9,"SOM",520,31,3,1966,31,3,1966,1,1,1,-9,1,-9,17,4,1,"4.01"
2068,-9,"ETH",530,21,5,1973,24,5,1973,1,0,0,-9,0,0,7,3,1,"4.01"
2068,-9,"SOM",520,21,5,1973,24,5,1973,0,1,1,-9,0,0,0,1,1,"4.01"
2069,-9,"CUB",40,28,7,1977,9,3,1978,0,0,0,-9,6,-9,20,5,0,"4.01"
2069,-9,"SOM",520,22,2,1977,9,3,1978,1,1,1,-9,6,-9,20,5,1,"4.01"
2069,-9,"ETH",530,22,2,1977,9,3,1978,0,0,0,-9,6,-9,20,5,1,"4.01"
2070,-9,"ETH",530,14,4,1978,7,2,1979,1,0,0,-9,-9,-9,16,4,1,"4.01"
2070,-9,"SOM",520,14,4,1978,7,2,1979,0,1,1,-9,-9,-9,16,4,1,"4.01"
2071,-9,"ETH",530,24,2,1980,13,6,1981,1,0,0,-9,2,-9,17,4,1,"4.01"
2071,-9,"SOM",520,24,2,1980,13,6,1981,0,1,1,-9,3,-9,17,4,1,"4.01"
2072,-9,"SOM",520,30,6,1982,25,5,1984,0,1,1,-9,4,-9,17,4,1,"4.01"
2072,-9,"ETH",530,30,6,1982,25,5,1984,1,0,0,-9,4,-9,17,4,1,"4.01"
2074,-9,"ETH",530,20,12,1984,2,1,1985,1,0,0,-9,2,-9,17,4,1,"4.01"
2074,-9,"SOM",520,20,12,1984,2,1,1985,0,1,1,-9,2,-9,17,4,1,"4.01"
2075,-9,"ETH",530,16,9,1985,20,10,1985,1,0,0,-9,2,-9,17,4,1,"4.01"
2075,-9,"SOM",520,16,9,1985,20,10,1985,0,1,1,-9,1,-9,17,4,1,"4.01"
2079,-9,"CHL",155,19,11,1958,2,2,1959,0,1,1,-9,0,0,0,1,1,"4.01"
2079,-9,"ARG",160,19,11,1958,2,2,1959,1,1,1,-9,0,0,14,4,1,"4.01"
2080,-9,"ARG",160,25,7,1964,29,7,1964,1,1,1,-9,0,0,17,4,1,"4.01"
2080,-9,"CHL",155,25,7,1964,29,7,1964,0,1,1,-9,0,0,17,4,1,"4.01"
2081,-9,"ARG",160,14,7,1977,20,2,1978,0,1,1,-9,0,0,7,3,1,"4.01"
2081,-9,"CHL",155,14,7,1977,20,2,1978,1,1,1,-9,0,0,7,3,1,"4.01"
2082,-9,"CHL",155,18,8,1978,8,1,1979,0,1,1,-9,0,0,10,3,1,"4.01"
2082,-9,"ARG",160,18,8,1978,8,1,1979,1,1,1,-9,0,0,7,3,1,"4.01"
2083,-9,"ARG",160,7,9,1980,23,2,1982,0,1,1,-9,0,0,15,4,1,"4.01"
2083,-9,"CHL",155,7,9,1980,23,2,1982,1,1,1,-9,0,0,16,4,1,"4.01"
2086,-9,"ARG",160,16,8,1983,16,8,1983,1,1,1,-9,0,0,12,3,1,"4.01"
2086,-9,"CHL",155,16,8,1983,16,8,1983,0,1,1,-9,0,0,7,3,1,"4.01"
2087,-9,"CHL",155,19,10,1984,19,10,1984,0,0,0,-9,0,0,0,1,1,"4.01"
2087,-9,"ARG",160,19,10,1984,19,10,1984,1,1,1,-9,0,0,16,4,1,"4.01"
2088,-9,"CHN",710,20,11,1950,21,11,1950,0,1,1,-9,0,0,7,3,1,"4.01"
2088,-9,"IND",750,20,11,1950,21,11,1950,1,1,1,-9,0,0,11,3,1,"4.01"
2089,-9,"CHN",710,29,6,1954,19,9,1954,0,1,1,-9,0,0,0,1,1,"4.01"
2089,-9,"IND",750,29,6,1954,19,9,1954,1,1,1,-9,0,0,12,3,1,"4.01"
2090,-9,"CHN",710,25,6,1955,5,11,1955,0,1,1,-9,0,0,12,3,1,"4.01"
2090,-9,"IND",750,25,6,1955,5,11,1955,1,1,1,-9,0,0,12,3,1,"4.01"
2092,-9,"CHN",710,-9,6,1956,3,10,1956,0,1,1,-9,0,0,12,3,1,"4.01"
2092,-9,"IND",750,-9,6,1956,3,10,1956,1,1,1,-9,0,0,12,3,1,"4.01"
2095,-9,"CHN",710,6,4,1964,1,4,1965,0,1,2,-9,0,0,7,3,1,"4.01"
2095,-9,"IND",750,6,4,1964,1,4,1965,1,0,0,-9,0,0,15,4,1,"4.01"
2096,-9,"IND",750,1,4,1965,1,4,1965,0,1,1,-9,0,0,0,1,1,"4.01"
2096,-9,"CHN",710,1,4,1965,1,4,1965,1,0,0,-9,0,0,12,3,1,"4.01"
2097,-9,"IND",750,17,6,1967,21,6,1967,1,0,0,-9,0,0,15,4,1,"4.01"
2097,-9,"CHN",710,17,6,1967,21,6,1967,0,0,0,-9,0,0,0,1,1,"4.01"
2098,-9,"IND",750,23,4,1969,24,4,1969,0,0,0,-9,0,0,0,1,1,"4.01"
2098,-9,"CHN",710,23,4,1969,24,4,1969,1,1,2,-9,0,0,1,2,1,"4.01"
2099,-9,"CHN",710,10,12,1971,10,12,1971,0,1,2,-9,0,0,0,1,1,"4.01"
